shopid,buyerid,register_date,country
2022,4646,9/29/2018,SZ
2644,4525,11/21/2021,SZ
2215,2364,10/30/2018,SG
2025,3541,6/23/2018,MY
2840,4251,1/13/2018,PH
2237,2698,5/4/2020,SG
2788,1619,8/21/2018,ID
2750,3817,11/25/2018,MY
2376,2885,1/28/2019,SG
2431,3157,1/7/2020,MY
2533,2426,10/11/2020,SG
2783,3905,8/5/2020,MY
2526,3609,3/31/2020,MY
2655,1056,12/10/2021,ID
2038,2318,2/19/2019,SG
3000,2765,1/20/2021,SG
2850,1592,4/3/2019,ID
2148,2006,5/10/2019,SG
2791,4885,10/14/2021,SZ
2712,2002,4/15/2020,SG
2426,4407,9/26/2021,PH
2619,1522,4/2/2021,ID
2287,3112,7/14/2019,MY
2598,2324,3/20/2019,SG
2636,3909,12/4/2021,MY
2562,4046,3/27/2021,PH
2471,2002,10/31/2019,SG
2667,2495,12/4/2020,SG
2721,4918,3/29/2018,SZ
2068,3243,10/26/2019,MY
2232,3085,5/14/2018,MY
2367,1708,4/29/2021,ID
2835,4034,3/20/2019,PH
2269,3495,2/20/2021,MY
2348,3055,3/27/2019,MY
2163,2106,7/22/2020,SG
2747,3791,5/24/2020,MY
2376,1901,12/14/2018,ID
2008,4944,2/8/2020,SZ
2663,4587,5/9/2018,SZ
2446,1141,2/22/2019,ID
2401,3946,8/3/2021,MY
2092,2826,8/21/2021,SG
2779,1032,2/17/2019,ID
2067,1125,10/1/2019,ID
2079,4198,1/14/2018,PH
2398,3272,4/1/2018,MY
2820,4698,11/9/2019,SZ
2669,4597,9/3/2019,SZ
2183,2553,2/23/2019,SG
2798,4291,6/8/2018,PH
2276,1514,10/13/2021,ID
2430,1396,1/24/2019,ID
2245,4773,4/23/2020,SZ
2350,4088,3/17/2020,PH
2513,3058,11/2/2019,MY
2528,4229,10/11/2019,PH
2084,4274,4/5/2021,PH
2879,1655,9/24/2020,ID
2949,4434,4/4/2019,PH
2053,1562,9/21/2019,ID
2956,2585,3/27/2019,SG
2801,3636,6/26/2021,MY
2678,4890,8/16/2020,SZ
2535,2881,2/10/2018,SG
2053,3873,1/10/2021,MY
2284,1047,2/17/2021,ID
2518,4815,10/10/2020,SZ
2045,2847,2/6/2019,SG
2756,1691,1/21/2019,ID
2583,2683,4/28/2020,SG
2829,3208,11/29/2021,MY
2749,2807,11/14/2018,SG
2818,1504,12/22/2019,ID
2729,1126,4/21/2019,ID
2013,3888,1/3/2019,MY
2359,3668,7/12/2021,MY
2563,2026,10/15/2020,SG
2103,2640,10/20/2020,SG
2306,2907,1/29/2018,SG
2535,2644,8/19/2018,SG
2028,4969,12/22/2021,SZ
2476,3240,5/19/2020,MY
2801,4124,6/6/2020,PH
2914,4122,5/29/2019,PH
2842,2996,10/25/2021,SG
2459,4438,2/4/2020,PH
2916,1447,1/4/2018,ID
2110,4183,7/31/2019,PH
2452,1709,1/1/2020,ID
2951,1285,12/23/2019,ID
2084,4439,8/30/2018,PH
2480,4196,8/2/2020,PH
2886,3870,5/29/2021,MY
2903,3918,8/16/2019,MY
2317,2376,3/27/2018,SG
2909,4576,12/25/2018,SZ
2862,1650,5/18/2019,ID
2421,4548,3/20/2018,SZ
2944,4708,6/11/2018,SZ
2076,1659,12/17/2019,ID
2777,3797,2/13/2018,MY
2308,3336,4/11/2018,MY
2928,3775,1/15/2021,MY
2470,1398,8/13/2020,ID
2779,4467,8/10/2020,PH
2973,4066,11/23/2019,PH
2957,1323,7/22/2020,ID
2663,1150,12/12/2021,ID
2737,2872,10/28/2018,SG
2312,4538,8/12/2020,SZ
2025,2033,4/28/2021,SG
2326,1743,1/23/2020,ID
2307,3337,5/2/2020,MY
2966,3549,12/5/2021,MY
2152,3152,1/9/2021,MY
2666,1501,9/8/2021,ID
2106,2884,1/10/2019,SG
2985,4315,11/25/2021,PH
2760,2047,12/19/2019,SG
2158,1902,12/15/2020,ID
2340,2368,1/20/2018,SG
2227,4280,8/17/2018,PH
2312,2972,1/5/2018,SG
2384,1840,5/12/2019,ID
2870,3988,1/29/2020,MY
2035,3174,8/13/2019,MY
2328,3049,9/10/2020,MY
2083,1288,4/15/2018,ID
2912,4914,10/26/2021,SZ
2107,4870,8/16/2020,SZ
2706,1848,10/28/2018,ID
2607,4003,10/30/2021,PH
2814,3027,8/20/2018,MY
2598,2273,9/14/2018,SG
2237,1236,7/11/2020,ID
2576,3959,2/9/2018,MY
2492,2845,6/9/2020,SG
2270,4306,7/17/2020,PH
2961,4602,7/3/2021,SZ
2145,1054,1/17/2019,ID
2406,3898,11/9/2020,MY
2050,4180,12/21/2020,PH
2634,3900,12/25/2019,MY
2425,3203,7/13/2021,MY
2920,2272,9/5/2018,SG
2757,1971,6/20/2021,ID
2073,1895,2/1/2021,ID
2766,4166,2/4/2021,PH
2487,3990,10/6/2021,MY
2595,1909,11/16/2020,ID
2426,3693,3/22/2020,MY
2131,1156,1/27/2020,ID
2882,2517,2/13/2021,SG
2281,4861,1/29/2021,SZ
2134,4059,2/28/2021,PH
2398,1156,10/17/2019,ID
2344,4404,2/27/2018,PH
2563,4037,12/6/2020,PH
2294,2839,1/23/2020,SG
2409,3347,7/24/2019,MY
2616,4177,2/20/2019,PH
2736,1535,2/18/2019,ID
2861,3172,12/14/2020,MY
2052,1071,10/28/2021,ID
2944,2268,8/10/2018,SG
2333,4421,5/19/2021,PH
2301,2193,12/4/2020,SG
2661,3880,9/28/2020,MY
2639,4995,9/22/2018,SZ
2715,4915,3/17/2018,SZ
2726,3626,10/27/2018,MY
2281,3104,6/4/2018,MY
2829,4947,7/28/2021,SZ
2156,1644,4/17/2018,ID
2165,1585,10/19/2021,ID
2423,4654,8/29/2021,SZ
2272,3830,2/4/2018,MY
2391,1556,5/21/2019,ID
3000,1487,6/9/2019,ID
2995,3828,5/4/2019,MY
2741,4950,10/14/2018,SZ
2106,1410,4/8/2019,ID
2736,4205,12/4/2020,PH
2619,2695,7/7/2021,SG
2902,1868,3/30/2021,ID
2679,3896,8/3/2019,MY
2154,4890,9/27/2020,SZ
2483,2133,2/16/2018,SG
2576,3844,5/19/2021,MY
2449,1286,4/26/2021,ID
2930,3000,11/28/2018,MY
2792,3100,1/5/2020,MY
2319,1488,10/25/2020,ID
2736,3779,6/4/2019,MY
2123,3542,3/25/2020,MY
2347,4170,3/18/2021,PH
2740,1773,5/4/2019,ID
2702,1727,1/14/2019,ID
2987,3318,8/10/2021,MY
2118,2846,4/28/2018,SG
2753,3314,6/11/2021,MY
2640,2563,9/6/2019,SG
2631,1316,10/16/2020,ID
2990,3399,6/13/2020,MY
2109,4804,7/13/2020,SZ
2558,4803,12/10/2018,SZ
2642,1082,7/18/2018,ID
2898,2432,9/18/2018,SG
2372,3221,4/27/2021,MY
2540,3361,8/6/2019,MY
2783,2196,2/14/2019,SG
2849,3065,6/3/2020,MY
2114,3401,7/21/2019,MY
2629,2034,11/5/2018,SG
2664,2726,12/15/2019,SG
2315,4135,5/10/2018,PH
2682,4167,5/5/2021,PH
2952,1448,4/5/2018,ID
2504,3351,8/13/2020,MY
2228,1577,2/14/2019,ID
2625,4350,9/9/2018,PH
2094,2341,9/10/2018,SG
2232,1680,2/16/2020,ID
2156,2850,5/29/2020,SG
2586,1943,4/4/2019,ID
2351,4362,4/3/2021,PH
2607,4886,11/20/2021,SZ
2134,4103,5/23/2020,PH
2757,4251,6/28/2020,PH
2147,3331,2/6/2021,MY
2436,1477,6/9/2018,ID
2871,2156,6/22/2019,SG
2895,4073,10/8/2021,PH
2599,4813,3/1/2019,SZ
2224,2590,1/29/2020,SG
2266,2469,1/25/2019,SG
2108,3740,4/26/2018,MY
2835,2234,6/10/2020,SG
2262,1440,3/11/2019,ID
2747,2014,12/15/2021,SG
2716,3946,9/26/2018,MY
2622,1501,12/7/2020,ID
2209,1706,7/3/2018,ID
2550,2064,1/15/2019,SG
2697,3020,7/18/2020,MY
2994,1303,11/23/2019,ID
2134,1922,8/12/2021,ID
2944,2460,7/23/2019,SG
2944,1927,6/20/2018,ID
2304,2735,7/4/2020,SG
2091,2094,8/4/2019,SG
2442,1417,1/11/2021,ID
2379,2273,7/1/2019,SG
2051,1180,6/27/2020,ID
2145,1181,2/12/2019,ID
2976,4831,1/20/2021,SZ
2636,3764,11/5/2018,MY
2819,4668,12/4/2020,SZ
2532,4188,8/7/2019,PH
2859,1446,9/11/2021,ID
2785,4992,8/31/2018,SZ
2435,4863,6/27/2020,SZ
2856,1878,6/9/2021,ID
2433,4028,9/27/2018,PH
2198,4335,8/30/2020,PH
2230,4144,5/12/2019,PH
2703,4273,9/22/2021,PH
2815,3008,11/22/2020,MY
2616,1962,11/6/2019,ID
2157,4597,11/28/2020,SZ
2966,2588,4/21/2019,SG
2454,2669,10/5/2021,SG
2333,3928,6/18/2018,MY
2203,1742,5/5/2020,ID
2922,1688,4/19/2018,ID
2539,1698,8/12/2020,ID
2866,4527,8/27/2020,SZ
2098,3786,8/31/2021,MY
2873,4607,7/25/2018,SZ
2562,1330,7/1/2018,ID
2117,2710,1/21/2020,SG
2534,2673,7/22/2020,SG
2034,2001,12/4/2019,SG
2624,3224,4/4/2019,MY
2468,1931,12/16/2020,ID
2279,1288,2/7/2018,ID
2170,2554,12/31/2020,SG
2253,3783,12/21/2020,MY
2339,1543,2/1/2020,ID
2664,1814,10/22/2021,ID
2514,3036,10/23/2019,MY
2958,2443,12/11/2020,SG
2517,3684,4/20/2020,MY
2045,3686,9/16/2019,MY
2630,4318,10/12/2021,PH
2655,1482,4/5/2019,ID
2568,4597,4/2/2019,SZ
2391,1307,4/30/2018,ID
2471,3323,9/30/2020,MY
2758,4294,5/13/2019,PH
2666,4095,8/22/2020,PH
2493,4674,9/27/2018,SZ
2565,3880,11/16/2020,MY
2582,3822,12/6/2018,MY
2231,4645,12/31/2019,SZ
2806,3613,8/19/2021,MY
2400,3400,6/25/2019,MY
2794,2445,12/23/2018,SG
2690,3530,11/25/2018,MY
2128,4078,11/4/2019,PH
2263,2817,9/16/2020,SG
2266,4665,9/17/2018,SZ
2200,3708,6/15/2019,MY
2690,3246,10/28/2019,MY
2886,2841,12/19/2019,SG
2463,4402,1/8/2019,PH
2030,1428,7/24/2021,ID
2640,4461,3/20/2019,PH
2952,1581,5/21/2019,ID
2971,2341,10/29/2020,SG
2761,1630,2/7/2020,ID
2388,1300,3/9/2021,ID
2214,4885,5/30/2018,SZ
2777,2932,12/26/2021,SG
2232,2011,10/24/2019,SG
2113,3188,5/6/2019,MY
2756,1373,10/19/2020,ID
2360,4371,3/8/2021,PH
2899,4171,9/27/2018,PH
2738,1992,3/9/2019,ID
2098,4112,6/29/2020,PH
2937,4459,8/24/2021,PH
2269,4610,12/7/2021,SZ
2389,4219,12/20/2019,PH
2902,4314,4/28/2019,PH
2856,4392,5/18/2020,PH
2719,2859,3/1/2019,SG
2812,3116,12/31/2019,MY
2025,4072,6/17/2020,PH
2670,2032,2/12/2021,SG
2643,2796,3/11/2021,SG
2755,3122,8/14/2019,MY
2038,1233,4/20/2018,ID
2396,3362,10/23/2020,MY
2224,3174,3/15/2019,MY
2361,2621,4/7/2019,SG
2945,2197,3/3/2020,SG
2472,1806,4/7/2021,ID
2213,3768,9/16/2020,MY
2282,4870,12/16/2021,SZ
2875,4337,8/4/2018,PH
2962,3757,12/16/2018,MY
2990,3538,5/11/2019,MY
2365,2899,3/27/2019,SG
2776,4570,12/3/2020,SZ
2464,1415,11/19/2021,ID
2338,1696,8/20/2019,ID
2232,2689,1/25/2018,SG
2403,4564,12/12/2018,SZ
2929,3325,5/28/2019,MY
2237,1051,8/5/2019,ID
2686,1724,6/29/2020,ID
2799,1873,3/30/2018,ID
2334,1174,11/17/2018,ID
2771,3595,12/21/2020,MY
2941,1717,6/24/2019,ID
2272,1742,7/28/2019,ID
2954,2943,5/11/2021,SG
2880,2861,11/24/2020,SG
2460,1899,11/8/2021,ID
2461,4314,8/22/2020,PH
2341,1288,1/1/2020,ID
2827,1794,12/5/2021,ID
2852,1858,12/15/2020,ID
2595,3950,9/19/2018,MY
2653,2048,1/3/2020,SG
2232,1546,5/24/2019,ID
2541,3398,1/25/2018,MY
2734,2784,2/5/2021,SG
2173,1257,1/18/2020,ID
2489,2301,1/6/2020,SG
2877,2178,12/25/2018,SG
2750,4998,5/12/2020,SZ
2101,3901,10/8/2019,MY
2168,1238,1/22/2019,ID
2707,2519,3/23/2019,SG
2469,2632,7/18/2018,SG
2929,4368,5/30/2021,PH
2318,3238,4/5/2021,MY
2535,3765,10/19/2019,MY
2177,1978,5/4/2021,ID
2519,3766,8/14/2020,MY
2256,2790,5/27/2019,SG
2881,3688,2/4/2021,MY
2722,1439,6/30/2018,ID
2398,3811,1/6/2020,MY
2052,3617,12/2/2020,MY
2905,2141,9/4/2018,SG
2364,3855,6/23/2020,MY
2943,1262,3/4/2020,ID
2766,1284,6/30/2021,ID
2852,2032,2/21/2018,SG
2278,1062,1/3/2020,ID
2510,3628,6/12/2018,MY
2063,3436,8/15/2018,MY
2431,1994,4/25/2018,ID
2742,2136,6/26/2021,SG
2939,2419,7/1/2021,SG
2512,2426,10/20/2019,SG
2273,4773,10/7/2020,SZ
2474,3321,11/5/2019,MY
2284,3012,9/20/2020,MY
2602,2486,10/1/2020,SG
2319,3209,9/30/2018,MY
2980,2939,12/10/2020,SG
2784,1342,7/14/2018,ID
2865,4287,7/22/2018,PH
2439,4147,4/18/2021,PH
2669,1148,4/28/2020,ID
2632,1592,12/6/2020,ID
2124,1067,3/5/2019,ID
2360,3731,7/4/2019,MY
2796,1633,2/13/2019,ID
2015,4847,3/14/2021,SZ
2052,4696,3/23/2020,SZ
2202,4276,6/2/2021,PH
2389,1340,7/30/2019,ID
2513,1278,1/1/2019,ID
2378,1875,12/17/2020,ID
2387,1683,11/11/2021,ID
2846,1802,8/4/2021,ID
2541,3080,5/21/2020,MY
2923,1927,11/21/2018,ID
2949,2726,4/2/2018,SG
2948,3794,7/6/2021,MY
2760,4673,2/8/2018,SZ
2463,1787,12/14/2018,ID
2261,2655,9/3/2019,SG
2319,3650,9/6/2018,MY
2634,3663,9/29/2020,MY
2809,3841,3/28/2019,MY
2471,3254,7/23/2019,MY
2899,3283,12/24/2020,MY
2270,4342,1/9/2019,PH
2695,4476,3/22/2021,PH
2413,4851,10/14/2020,SZ
2159,4373,2/12/2020,PH
2410,1499,8/31/2019,ID
2203,1328,5/16/2018,ID
2122,3683,1/14/2021,MY
2861,1516,7/22/2020,ID
2828,4976,1/3/2021,SZ
2318,2237,1/15/2020,SG
2678,1055,4/3/2021,ID
2861,2089,11/17/2018,SG
2702,1119,8/26/2020,ID
2948,4529,3/13/2018,SZ
2974,4787,8/13/2018,SZ
2060,1753,3/10/2020,ID
2930,4923,6/22/2018,SZ
2398,3174,8/12/2019,MY
2445,3948,7/17/2018,MY
2044,4067,10/22/2018,PH
2067,4882,11/4/2021,SZ
2260,3275,9/16/2019,MY
2657,4409,3/15/2019,PH
2434,3436,3/19/2019,MY
2489,1921,8/13/2020,ID
2595,4553,6/17/2019,SZ
2781,4025,7/11/2021,PH
2313,2817,3/19/2020,SG
2098,3238,7/4/2019,MY
2045,4598,2/25/2019,SZ
2127,5000,2/28/2021,SZ
2246,2639,5/4/2019,SG
2462,1593,4/2/2020,ID
2173,3669,4/20/2020,MY
2809,4964,9/9/2020,SZ
2763,1795,7/20/2018,ID
2277,1663,1/11/2018,ID
2610,1934,4/11/2019,ID
2570,4714,10/11/2021,SZ
2892,2313,7/20/2018,SG
2113,4738,8/11/2020,SZ
2938,3249,5/18/2019,MY
2673,3961,2/16/2021,MY
2999,4721,10/9/2018,SZ
2409,4651,5/19/2018,SZ
2861,1229,8/18/2019,ID
2780,3611,2/28/2018,MY
2515,1483,12/23/2018,ID
2029,4258,2/19/2020,PH
2492,1969,3/7/2020,ID
2614,4203,7/17/2020,PH
2897,1261,11/27/2019,ID
2149,2521,3/4/2020,SG
2848,2073,11/9/2019,SG
2755,3889,9/10/2020,MY
2187,3456,2/25/2018,MY
2338,2512,7/7/2019,SG
2292,4749,9/7/2018,SZ
2701,2902,10/9/2020,SG
2370,1441,8/26/2021,ID
2781,1033,5/29/2020,ID
2677,4666,5/10/2020,SZ
2843,1301,10/1/2021,ID
2670,4708,11/17/2021,SZ
2495,3266,1/22/2021,MY
2266,3925,2/1/2020,MY
2593,1190,1/24/2021,ID
2184,4818,7/27/2021,SZ
2987,2720,6/23/2019,SG
2402,2643,5/6/2021,SG
2423,3196,7/16/2020,MY
2307,2422,4/8/2020,SG
2471,4925,5/26/2020,SZ
2380,1034,7/29/2021,ID
2275,3225,11/9/2018,MY
2497,4009,1/12/2021,PH
2138,4333,2/25/2019,PH
2619,2821,1/17/2021,SG
2884,4960,11/6/2018,SZ
2013,3242,4/22/2021,MY
2880,1781,12/4/2019,ID
2632,3062,10/27/2020,MY
2622,4101,9/14/2021,PH
2743,1687,8/23/2018,ID
2285,4573,5/21/2021,SZ
2247,2762,3/11/2020,SG
2113,4608,12/17/2020,SZ
2418,2776,11/1/2020,SG
2799,2640,11/22/2019,SG
2966,3766,8/31/2020,MY
2829,3019,9/28/2021,MY
2420,4102,11/19/2021,PH
2643,1024,10/18/2018,ID
2840,3814,4/30/2021,MY
2604,1796,1/31/2019,ID
2614,1718,4/22/2019,ID
2420,4636,12/29/2019,SZ
2806,3079,1/14/2021,MY
2052,4333,4/21/2021,PH
2044,2409,12/6/2020,SG
2893,3409,8/26/2019,MY
2163,2082,12/16/2021,SG
2995,1667,4/21/2018,ID
2852,1315,3/9/2020,ID
2738,4396,2/25/2019,PH
2954,3772,2/12/2021,MY
2330,1382,5/30/2019,ID
2959,3765,2/2/2018,MY
2955,3080,4/5/2018,MY
2662,3460,1/18/2020,MY
2057,2629,9/13/2020,SG
2272,4351,11/24/2018,PH
2589,2746,3/31/2018,SG
2482,4330,6/4/2020,PH
2690,3257,5/13/2020,MY
2696,2370,11/13/2021,SG
2962,4179,1/21/2018,PH
2574,2734,8/6/2020,SG
2479,4920,3/23/2018,SZ
2331,3072,5/12/2020,MY
2476,1064,2/20/2018,ID
2189,1186,10/20/2021,ID
2823,4143,4/1/2021,PH
2589,4322,5/18/2021,PH
2606,4108,11/4/2021,PH
2074,3406,5/31/2021,MY
2899,3272,7/8/2021,MY
2143,1153,2/4/2021,ID
2969,3507,7/17/2021,MY
2709,3700,8/30/2021,MY
2892,2876,7/13/2021,SG
2497,4693,6/29/2018,SZ
2459,4763,8/11/2021,SZ
2463,2882,8/6/2020,SG
2225,3708,7/18/2019,MY
2628,4109,11/3/2019,PH
2922,3274,3/27/2020,MY
2320,4735,12/6/2021,SZ
2967,3806,4/5/2018,MY
2561,1777,5/21/2019,ID
2013,4787,1/18/2021,SZ
2756,2896,9/29/2020,SG
2753,4380,8/25/2018,PH
2485,3148,8/8/2019,MY
2141,3120,3/17/2020,MY
2517,4604,3/11/2021,SZ
2814,2576,12/29/2019,SG
2265,2531,8/19/2018,SG
2385,3935,6/1/2019,MY
2760,3903,5/17/2019,MY
2211,2378,10/1/2020,SG
2945,2379,1/5/2020,SG
2579,1916,11/22/2018,ID
2862,4947,9/29/2021,SZ
2067,3161,12/23/2018,MY
2354,3585,8/8/2019,MY
2669,1693,3/3/2021,ID
2185,3769,3/9/2018,MY
2192,1175,4/16/2018,ID
2113,2857,2/23/2019,SG
2642,3246,12/19/2021,MY
2721,2959,12/16/2018,SG
2403,4155,6/8/2021,PH
2209,1140,2/22/2020,ID
2448,1241,1/25/2018,ID
2861,2469,7/18/2020,SG
2485,4428,1/16/2019,PH
2862,3758,7/31/2019,MY
2255,1077,2/19/2020,ID
2646,3165,8/30/2018,MY
2420,3047,8/17/2020,MY
2622,3764,6/29/2020,MY
2866,2377,11/29/2020,SG
2710,2066,2/29/2020,SG
2399,1949,10/25/2020,ID
2695,3164,3/5/2020,MY
2440,2033,2/17/2018,SG
2791,3786,4/5/2020,MY
2151,1474,12/19/2021,ID
2282,3387,11/7/2021,MY
2295,4872,6/14/2018,SZ
2032,1765,3/18/2020,ID
2397,1566,5/14/2021,ID
2200,3340,3/30/2019,MY
2442,3671,12/21/2021,MY
2313,4816,9/1/2021,SZ
2542,2390,2/22/2019,SG
2258,4168,5/7/2020,PH
2669,4089,11/12/2021,PH
2638,2694,8/13/2021,SG
2304,1876,11/18/2018,ID
2765,3168,1/24/2018,MY
2785,4078,2/15/2021,PH
2499,2361,3/7/2021,SG
2142,2086,2/27/2018,SG
2468,2490,4/3/2018,SG
2501,3139,1/26/2019,MY
2994,2317,5/20/2019,SG
2346,1293,1/31/2018,ID
2813,4178,6/24/2019,PH
2549,2919,5/20/2021,SG
2926,3966,1/14/2018,MY
2313,2990,3/2/2019,SG
2864,3462,12/27/2018,MY
2001,2565,10/26/2021,SG
2009,4846,9/11/2021,SZ
2621,1472,3/11/2018,ID
2021,4019,8/30/2021,PH
2479,2681,3/20/2018,SG
2744,1537,12/28/2021,ID
2961,4407,3/7/2021,PH
2239,2300,11/1/2019,SG
2557,2312,1/20/2019,SG
2022,3334,9/22/2018,MY
2262,4946,10/31/2021,SZ
2568,1450,2/17/2019,ID
2400,3763,11/21/2018,MY
2748,3838,4/12/2018,MY
2295,3510,10/14/2018,MY
2657,3804,2/22/2018,MY
2496,3057,6/14/2019,MY
2739,1218,6/15/2020,ID
2745,1669,12/4/2018,ID
2914,3908,1/12/2021,MY
2411,3090,10/31/2019,MY
2299,4638,9/5/2019,SZ
2526,4629,8/24/2018,SZ
2781,3483,4/23/2019,MY
2979,3342,4/18/2019,MY
2982,2738,6/26/2021,SG
2202,2959,11/22/2019,SG
2191,1816,9/1/2020,ID
2585,1370,1/28/2021,ID
2762,2652,11/22/2020,SG
2206,1582,10/2/2019,ID
2342,4884,6/26/2018,SZ
2138,1432,10/29/2020,ID
2103,3682,8/17/2019,MY
2980,3896,10/1/2018,MY
2054,1015,1/10/2021,ID
2310,3505,10/23/2021,MY
2031,4015,4/21/2018,PH
2945,2030,3/12/2021,SG
2127,1727,6/23/2020,ID
2844,2192,6/14/2020,SG
2184,2883,8/30/2019,SG
2142,3066,12/26/2018,MY
2028,1564,8/14/2019,ID
2984,1920,4/24/2019,ID
2466,3901,2/5/2019,MY
2838,2879,7/28/2021,SG
2013,3114,10/28/2021,MY
2662,2510,9/24/2018,SG
2936,1375,12/31/2018,ID
2445,4709,6/13/2018,SZ
2737,4213,9/5/2020,PH
2444,1504,7/8/2020,ID
2977,2588,11/16/2019,SG
2407,1559,6/4/2018,ID
2800,4749,2/2/2020,SZ
2384,1945,3/9/2021,ID
2379,3221,11/4/2020,MY
2067,1599,3/6/2020,ID
2367,4056,10/7/2020,PH
2164,2006,4/26/2019,SG
2869,1761,3/29/2018,ID
2981,4661,8/7/2018,SZ
2897,1732,2/24/2018,ID
2992,1246,8/6/2019,ID
2563,3188,12/19/2018,MY
2887,3428,3/24/2020,MY
2209,2691,7/20/2018,SG
2272,1129,1/2/2020,ID
2458,4202,7/2/2018,PH
2164,1047,11/9/2018,ID
2936,1326,10/8/2018,ID
2560,1834,6/8/2020,ID
2103,1016,6/24/2020,ID
2847,1069,8/10/2019,ID
2753,3085,6/3/2019,MY
2714,4625,7/11/2018,SZ
2645,2124,2/18/2019,SG
2645,3010,1/22/2019,MY
2832,2571,3/14/2020,SG
2183,2565,6/13/2020,SG
2686,4243,6/18/2020,PH
2771,4113,5/26/2021,PH
2373,3443,6/2/2021,MY
2169,3904,10/17/2020,MY
2292,1467,8/23/2020,ID
2285,2807,12/2/2021,SG
2185,2228,7/20/2020,SG
2290,2200,1/19/2018,SG
2208,2103,3/16/2019,SG
2398,3297,8/20/2021,MY
2964,2682,6/30/2018,SG
2691,4393,6/30/2019,PH
2825,4225,11/9/2020,PH
2174,2555,6/12/2021,SG
2831,1756,8/15/2018,ID
2505,2002,11/6/2019,SG
2201,2046,8/11/2019,SG
2404,2237,7/13/2019,SG
2128,1679,9/10/2020,ID
2241,4938,1/7/2020,SZ
2072,1037,7/10/2018,ID
2661,3073,2/14/2021,MY
2061,2193,11/24/2020,SG
2172,3075,7/28/2019,MY
2040,1322,4/27/2020,ID
2685,4366,11/17/2021,PH
2309,3649,10/5/2019,MY
2995,3780,11/10/2019,MY
